"TRE ACR Report"
"PORTFOLIO","POS_CUR_PAR","POS_DATE","POS_FACE","MKT_PRICE","SOURCE","CLIENT_SEC_TYPE","SEC_CURRENCY","CLIENT_ID","BOOK_TYPE","BOOK_PRICE","BOOK_FX_RATE","BOOK_VALUE","BOOK_DATE","BOOK_TYPE_2","BOOK_PRICE_2","BOOK_VALUE_2","BOOK_DATE_2","BOOK_TYPE_3","BOOK_PRICE_3","BOOK_VALUE_3","BOOK_DATE_3","BOOK_YIELD","BOOK_YIELD_2","BOOK_YIELD_3","STRATEGY"
"JPDACRTRE","2,276,537.55","06/02/2020","3,125,000.00","100.000000000000000","ACR","LOAN","USD","ACR011841","","","","","","","","","","","","","","","","",""
"USDACRTRE","114,463.62","06/02/2020","151,113.00","100.000000000000000","ACR","LOAN","USD","ACR011846","","","","","","","","","","","","","","","","","FHLA15"
"JPDACRTRE","331,265.71","06/02/2020","2,117,100.00","","ACR","LOAN","USD","ACR011900","","","","","","","","","","","","","","","","",""
"JPDACRTRE","72,414,213.67","06/02/2020","90,249,998.00","98.837659490000000","ACR","LOAN","USD","ACR011963","","","","","","","","","","","","","","","","",""
"JPDACRTRE","62,532,955.00","06/02/2020","62,532,955.00","99.379983320000000","ACR","LOAN","USD","ACR012196","","","","","","","","","","","","","","","","",""
"JPDACRTRE","1,603,409.00","06/02/2020","1,603,409.00","100.000000000000000","ACR","LOAN","USD","ACR012482","","","","","","","","","","","","","","","","",""
"JPDACRTRE","21,269,926.16","06/02/2020","47,027,926.00","98.702096240000000","ACR","LOAN","USD","ACR012720","","","","","","","","","","","","","","","","",""
"JPDACRTRE","104,305,527.14","06/02/2020","121,875,000.00","98.988310320000000","ACR","LOAN","USD","ACR012786","","","","","","","","","","","","","","","","",""
"USDACRTRE","18,392,045.00","06/02/2020","18,392,045.00","99.380004870000000","ACR","LOAN","USD","ACR012855","","","","","","","","","","","","","","","","",""
"USDACRTRE","471,591.00","06/02/2020","471,591.00","100.000000000000000","ACR","LOAN","USD","ACR012856","","","","","","","","","","","","","","","","",""
"USDACRTRE","14,073,699.02","06/02/2020","25,000,000.00","98.469668170000000","ACR","LOAN","USD","ACR012871","","","","","","","","","","","","","","","","","FHLA17"
"USDACRTRE","11,734,713.22","06/02/2020","14,625,000.00","98.837748150000000","ACR","LOAN","USD","ACR012977","","","","","","","","","","","","","","","","",""
"USDACRTRE","4,522,829.16","06/02/2020","10,000,000.00","98.702206730000000","ACR","LOAN","USD","ACR013006","","","","","","","","","","","","","","","","",""
"USDACRTRE","64,458.59","06/02/2020","411,951.00","","ACR","LOAN","USD","ACR013025","","","","","","","","","","","","","","","","",""
"JPDACRTRE","965,067.62","06/02/2020","1,284,800.00","100.000000000000000","ACR","LOAN","USD","ACR013026","","","","","","","","","","","","","","","","",""
"USDACRTRE","187,785.67","06/02/2020","250,000.00","100.000000000000000","ACR","LOAN","USD","ACR013028","","","","","","","","","","","","","","","","",""
"USDACRTRE","13,775,509.85","06/02/2020","15,000,000.00","","ACR","LOAN","USD","ACR013115","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.01","06/02/2020","3,767,045.00","","ACR","LOAN","USD","ACR013229","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.01","06/02/2020","1,107,955.00","","ACR","LOAN","USD","ACR013230","","","","","","","","","","","","","","","","",""
"JPDACRTRE","0.01","06/02/2020","96,591.00","","ACR","LOAN","USD","ACR013231","","","","","","","","","","","","","","","","",""
"USDACRTRE","0.01","06/02/2020","28,409.00","","ACR","LOAN","USD","ACR013232","","","","","","","","","","","","","","","","",""
"JPDACRTRE","35,046,963.00","06/02/2020","35,046,963.00","99.147147940000000","ACR","LOAN","USD","ACR013283","","","","","","","","","","","","","","","","",""
"JPDACRTRE","2,259,411.68","06/02/2020","12,943,137.00","","ACR","LOAN","USD","ACR013284","","","","","","","","","","","","","","","","",""
"USDACRTRE","6,819,537.00","06/02/2020","6,819,537.00","99.146973860000000","ACR","LOAN","USD","ACR013285","","","","","","","","","","","","","","","","",""
"USDACRTRE","439,642.68","06/02/2020","2,518,512.00","","ACR","LOAN","USD","ACR013286","","","","","","","","","","","","","","","","",""
"JPDACRTRE","1,872,510.14","06/02/2020","2,314,102.00","100.000000000000000","ACR","LOAN","USD","ACR013685","","","","","","","","","","","","","","","","",""
"USDACRTRE","303,440.09","06/02/2020","375,000.00","100.000000000000000","ACR","LOAN","USD","ACR013686","","","","","","","","","","","","","","","","",""
"JPDACRTRE","111,434,728.37","06/02/2020","121,875,000.00","98.992950180000000","ACR","LOAN","USD","ACR013688","","","","","","","","","","","","","","","","",""
"USDACRTRE","22,286,946.07","06/02/2020","24,375,000.00","98.992971590000000","ACR","LOAN","USD","ACR013689","","","","","","","","","","","","","","","","",""
"JPDACRTRE","2,882,374.35","06/02/2020","3,125,000.00","100.000000000000000","ACR","LOAN","USD","ACR013694","","","","","","","","","","","","","","","","",""
"USDACRTRE","576,474.67","06/02/2020","625,000.00","100.000000000000000","ACR","LOAN","USD","ACR013695","","","","","","","","","","","","","","","","",""
"JPDACRTRE","81,727,511.25","06/02/2020","90,468,000.00","","ACR","LOAN","USD","ACR014356","","","","","","","","","","","","","","","","",""
"USDACRTRE","15,809,252.75","06/02/2020","17,500,000.00","","ACR","LOAN","USD","ACR014357","","","","","","","","","","","","","","","","",""
